대리상매출,MLB,MLB KIDS,DISCOVERY
당년S,"576,493","20,623","13,756"
당년F,,,
1년차,-9335.542,-2.099,-14079.38
차기시즌,,,
ACC,"293,746","5,597","-1,550"
