조정사항,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
사용권자산,,,-1198988.058,,,,,,,,,
재무비용,,,,,,,,,,,,
이연수익,,,33493.6,,,,,,,,,
반품충당부채,,,3790851.78,,,,,,,,,
매출원가조정(credit),,,1006708.01,,,,,,,,,
기타,,,-2717888.945,,,,,,,,,
리베이트,,,,,,,,,,,,
정부보조금,,,,,,,,,,,,
,,,,,,,,,,,,
매출조정(재무식),-17020778.51,-16789646.77,"-4,957,129",,,,,,,,,
매출조정(재무식),,,,,,,,,,,,
