level1,level2,MLB,MLB KIDS,DISCOVERY,DUVETICA,SUPRA
리테일매출,대리상,"938,867.49","33,384.08","4,841.22",,
리테일매출,직영,89868.3124,11085.1418,1297.5338,,
Tag매출,대리상(의류),"429,806.90","13,471.20","2,816.25",,
Tag매출,대리상(ACC),"336,420.31","6,812.64",286.1,,
Tag매출,직영,"108,517.65","14,668.66","1,513.14",17913.42,7714.705
실판매출,대리상(의류),"159,751.24","5,006.99","1,042.59",,
실판매출,대리상(ACC),"140,378.66","2,532.13",78.46,,
실판매출,직영,"79,529.48","9,809.86","1,148.26",1875.81417,690.13844
매출원가,,"267,437.49","11,034.17","1,642.12",26.58356,2467.85855
평가감,,"17,847.23",866.56,"5,624.74",5.51678,-2470.52881
급여(매장),,"4,328.89","1,126.65",201.9,53.42912,0
복리후생비(매장),,"1,563.21",401.41,83.27,294.94573,0
플랫폼수수료,,"3,619.25",365.58,65.68,25.78677,0
TP수수료,,"4,967.38",370.17,281.6,0,0
직접광고비,,28.3,430.81,224.63,67.53755,0
대리상지원금,,"10,434.16",921.47,243.59,456.89232,99.08182
물류비,,"6,456.66",522.64,284,33.46068,0.00415
매장임차료,,"11,695.36","2,112.32",634.94,14.09669,0
감가상각비,,628.72,182.08,82.62,,0
기타(직접비),,"1,167.63",169.74,7.48,,
급여(사무실),,"11,883.56","1,135.08","1,825.80",,
복리후생비(사무실),,"3,798.65",206.7,375.39,,
광고비,,"15,389.57",802.68,"2,257.63",,
수주회,,0,0,0,,
지급수수료,,"2,099.86",0,8.2,,
임차료,,"1,913.43",0,0,,
감가상각비(영업비),,377.57,3.14,6.04,,
세금과공과,,203.67,0,0,,
기타(영업비),,164.97,3.72,87.67,,
,,,,,,
,,"13,654","-3,306","-11,668",897.56497,593.72273
