level1,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
급여(사무실),,,674.4127867,674.4127867,674.4127867,674.4127867,674.4127867,674.4127867,674.4127867,674.4127867,677.3429067
복리후생비(사무실),,,204.90815,202.22015,202.22015,222.1758781,222.1758781,225.0558781,222.1758781,222.1758781,222.1758781
광고비,,,"2,121.34","1,924.29",134.2920887,332.33334,"1,333.79","2,548.29","3,521.34","2,419.34",141.3354869
수주회,,,60,0,0,300,0,60,0,0,0
지급수수료,,,17.875,17.875,96.875,0,0,0,0,0,0
임차료,,,0,0,0,0,0,0,0,0,0
감가상각비(영업비),,,3.317016722,2.885846722,2.670260611,2.670260611,2.245526111,1.598771111,1.598771111,1.598771111,1.598771111
세금과공과,,,0,0,0,0,0,0,0,0,0
기타(영업비),,,44.83208333,35.02541667,43.58375,38.59041667,25.77708333,61.57041667,27.02541667,48.57708333,45.01208333
