level1,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
급여(사무실),,,"1,261.90","1,260.14","1,381.49","1,378.92","1,383.00","1,433.29","1,406.77","1,405.82","1,405.31"
복리후생비(사무실),,,366.22587,344.04987,384.2805938,428.0539965,397.7923553,407.5386543,414.9386543,398.5386543,424.5386543
광고비,,,"3,699.21","2,586.88","2,428.21","2,212.85","3,162.67","2,001.67","4,489.93","3,452.24","3,351.26"
수주회,,,0,0,0,0,0,0,700,0,0
지급수수료,,,159.85,254.97,109.25,152.6366667,92.01666667,187.6366667,84.91666667,159.1366667,45.51666667
임차료,,,0,0,0,0,0,0,0,0,0
감가상각비(영업비),,,0,0,0,0,0,0,0,0,0
세금과공과,,,0,0,0,0,0,0,0,0,0
기타(영업비),,,104.0668333,218.5068333,68.76866667,131.8953333,46.19033333,223.724,66.79066667,56.44066667,55.284
