,기초잔액,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,기말잔액,2026년계획(N-1)
현금잔액,"139,543,358","186,366,258","97,643,054","118,194,310","113,675,633","112,399,807","134,699,782","108,040,784","117,945,859","122,497,575","112,511,498","105,215,938","134,855,375","134,855,375",134855375
차입금잔액,"909,685,078","922,085,078","975,685,078","930,000,000","550,000,000","430,000,000","140,000,000","210,000,000","140,000,000","190,000,000","290,000,000","190,000,000","50,000,000","50,000,000",50000000
