브랜드,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
MLB,,,0.316998152,0.343561398,0.344472437,0.338355693,0.340807792,0.342230275,0.355994071,0.343874708,0.347720011
MLB KIDS,,,0.361317849,0.350888739,0.362843072,0.362387414,0.344989801,0.364139313,0.372178462,0.360470598,0.358442591
DISCOVERY,,,0.383254558,0.41823963,0.326998339,0.342192315,0.34478311,0.36101939,0.365348809,0.41359546,0.357379065
